population,deltaProp_eclose
aLHmX_Inn,0.015833333
aLHmX_Inn,-0.035833333
aLHmX_Inn,0.009621212
aLHmX_Inn,-0.061111111
aLHmX_Inn,0.018
aLHmX_Inn,-0.044
aLHmX_Inn,-0.045227273
aLHmX_Inn,0.007840909
aLHmX_Inn,-0.026
aLHmX_Inn,-0.04219697
aLHmX_Inn,-0.019444444
aLHmX_Inn,0.028787879
aLHmX_Inn,-0.018777778
aLHmX_Inn,-0.029090909
aLHmX_Inn,-0.010757576
aLHmX_Inn,-0.02
aLHmX_Inn,-0.058452381
aLHmX_Inn,-0.036181818
aLHmX_Inn,-0.0325
aLHmX_Inn,-0.036666667
aLHmX_Inn,-0.010795455
aLHmX_Inn,0.01
aLHmX_Inn,-0.022727273
aLHmX_Inn,-0.030984848
aLHmX_Inn,-0.01
aLHmX_Inn,-0.019714286
aLHmX_Inn,-0.113333333
aLHmX_Inn,-0.019722222
aLHmX_Inn,-0.0285
aLHmX_Inn,0
aLHmX_Inn,0.007424242
aLHmX_Inn,-0.012666667
aLHmX_Inn,-0.033333333
aLHmX_Inn,-0.080681818
aLHmX_Inn,-0.084747475
aLHmX_Inn,-0.040113636
aLHmX_Inn,-0.022142857
aLHmX_Inn,-0.061666667
aLHmX_Inn,-0.0425
aLHmX_Inn,-0.025454545
aLHmX_Inn,0.005909091
aLHmX_Inn,-0.005555556
aLHmX_Inn,-0.057272727
aLHmX_Inn,-0.035416667
aLHmX_Inn,-0.015444444
aLHmX_Inn,-0.01625
aLHmX_Inn,-0.016666667
aLHmX_Inn,0.005833333
aLHmX_Inn,-0.023333333
aLHmX_Inn,0.007936508
aLHmX_Inn,0.022181818
aLHmX_Inn,-0.029393939
aLHmX_Inn,-0.020113636
aLHmX_Inn,-0.051969697
aLHmX_Inn,0.046666667
aLHmX_Inn,-0.013272727
aLHmX_Inn,-0.027166667
aLHmX_Inn,-0.03375
aLHmX_Inn,-0.003809524
aLHmX_Inn,0.002333333
aLHmX_Inn,-0.022857143
aLHmX_Inn,-0.050113636
aLHmX_Inn,0.019166667
aLHmX_Inn,-0.000363636
aLHmX_Inn,-0.050694444
aLHmX_Inn,-0.035857143
aLHmX_Inn,0.028333333
aLHmX_Inn,-0.026
aLHmX_Inn,-0.057045455
aLHmX_Inn,-0.030606061
aLHmX_Inn,-0.0605
aLHmX_Inn,-0.035984848
aLHmX_Inn,-0.067
aLHmX_Inn,0.001666667
aLHmX_Inn,-0.029772727
aLHmX_Inn,-0.071547619
aLHmX_Inn,-0.05075
aLHmX_Inn,-0.017083333
aLHmX_Inn,-0.066590909
